문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
땅값때문이다,0,0,0,0,0,0,0,1,0,0
호주 범죄자 후손 새끼들 주제에 고유한 문화 이지랄ㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0
박근혜나 문제인이 대통령 된다고 당신 가정이 파탄날 일을 없습니다 하지만 된장녀가 당신 가정을 파탄낼 확률은 100%입니다 성 고재기,0,0,0,0,0,0,0,0,1,1
이관하면 니동네 경찰서에서 조사받는다,0,0,0,0,0,0,0,1,0,0
병신이네지네똥남아새끼들은가족끼리ㅅㅅ해서다문화아니라고우길듯,0,1,0,0,0,0,0,0,0,0
저기서 남자친구를 여자친구로 바꾸면 제동이 민주화당하겠지?,0,0,0,0,0,1,0,0,1,0
88년에 세례 받은 천주교 신자임. 세례명은 다니엘.교황 개새끼,0,0,0,0,1,0,0,0,1,0
종교에 미치는거보면 참...이해가안되..혼자조용히 기도드려도될텐데...80대라...더럽고 추잡한 노인네,0,0,0,0,1,0,0,0,0,0
오묘메 미친뇬들^^; 까벗겨도 뭐없는 뇬들이 꼭 즈지랄이야 미친 ㅋㅋ 박원순인 저게 뭐 대단한 축제라구 저걸 지지한대 말만 하지말구 퍼레이드 트럭이나 좀 바까바바봉고가 웬 지랄이야 증말 ^^;,1,0,0,0,0,0,0,0,1,0
뭔개소리냐 저새끼가 비록 개슬람이긴 하지만 잘못한게 없는데 경찰이 헛좆질한건 맞잖아,0,0,0,0,1,0,0,0,0,0
억~~~~~~~,0,0,0,0,0,0,0,1,0,0
대구에선 스포츠다 이기야 ㄷㄷ,0,0,0,1,0,0,0,0,0,0
동남아는 중국이랑 먼데도 95%화교가 쥐고있는데바로옆 대한민국은 짱깨놈들?? 엥?그거 요리사아니냐? 이수준밖에못됨박정희 녹림화랑 화교탄압정책은 ㅆㅅㅌㅊ다,0,1,0,0,0,0,0,0,1,0
중권아 주둥이만 털지말고 페미 공부 좀 해라.. 대가리가 굳어서 이제 안돼? 니 별로 논리적이지도 않으니까 까불지말고 존나 우매하고 추하거든? 혐오발언 하면 안된다고 하는 자식이 소추 성애자냐 이 586 메갈리스트 틀딱 새기야,0,0,1,0,0,0,0,0,1,1
경상도에서 문재인칭찬하면 얼굴에 침뱉는다,0,0,0,1,0,0,0,0,1,0
레알 동남아년들 혐오스럽다 이자스민때문에 더심해짐. 이자스민 만나면 당장 쌍욕할듯,0,1,0,0,0,0,0,0,1,1
변태는 성소수자가 아닙니다. 의상도착증 환자입니다.,1,0,0,0,0,0,0,0,0,0
건강한 예배 회복을 위해 함께 기도하겠습니다~,0,0,0,0,0,0,0,1,0,0
아 진짜 토나온다...,0,0,0,0,0,0,1,0,0,0
중요점 1 : 이나영 원빈은 스몰 웨딩을 했지 거지 웨딩은 안했다. 중요점 2 : 걔네는 돈 앵나 넘쳐나게 많다. 좆팔 한남충들아,0,0,0,0,0,0,0,0,1,1
다문화척결은 삼베 받으시오,0,1,0,0,0,0,0,0,0,0
왜 이자스민이냐아빠가 이씨여?이자스민 그만하고 필리피노 자스민 필자스민 합시다,0,1,0,0,0,0,0,0,1,0
남의나라와서 비난하노 이자스민 한국 국적이냐?,0,1,0,0,0,0,0,0,1,0
커여워 ㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
니가 문제다..,0,0,0,0,0,0,1,0,0,0
홍어가 경상도를 죽이고있다,0,0,0,1,0,0,0,0,0,0
다음정권은 무조건 가져 와야 한다저번 정권 광우뻥파동 으로 아무것도 못하고 그나마 레가께서 비정상의정상화를 부르짖으시며 자리가 잡혀가는데 다음정권 뺏길경우 도로아미타블 생각하기도 싫다,0,0,0,0,0,0,1,0,0,0
진짜 노짱 죽은거 맞어?,0,0,0,0,0,0,1,0,1,0
씹똥송 개자스민 지랄한다.,0,1,0,0,0,0,0,0,1,0
이재명을 뽑아 대한민국 시즌 1을 끝내야지대꺠문과 홍어 쥐새끼들을 모조리 뼈까지 뽀개 멸종시켜야시즌 2 시작 가능함,0,0,0,1,0,0,0,0,1,0
진짜 구라안치고 면상 여장안하고 걍 긴 생머리가발만씌워도 짤에나온년들보다 내가 더 보지같이 나오겠다,0,0,0,0,0,0,0,0,0,1
지랄하고있네. 사람이 죽이 맞으면 친한거지 ㅉㅉ누가 통베충 저장소 아니랄까봐. 일베에 호재 불러온 충청도아저씨 인기 급물살 타니까경상충청일체 분위기 조성하는거 보소 ㅉㅉ,0,0,0,1,0,0,0,0,0,0
어깨 보지대장답게 시원시원하게크고 늠름하노 상폐새끼들 욕하면서 오또캐오또캐 속으로 자들자들떨고잇놐ㅋㅋㅋ 어딜나와다니노자댕기새끼들아 집구석쳐들어가서 곰탕이나 고아서 쳐먹어라이니야,0,0,0,0,0,0,0,0,0,1
싫은 것도 공존하는거지,0,0,0,0,0,0,0,1,0,0
내가 이래사 갓조국으로 이민온거임. 이새끼들은 진짜 불합리한거보면 절대 가만히 안 놔둠. 특히 백인들 진짜 합리적이고 정의감 ㅆㅅㅌㅊ,0,1,0,0,0,0,0,0,1,0
프랑스 앰흑은 뭔가 지적이고 고급스러운느낌나는데나만그럼?예전부터 그런 인식이잇던데,0,1,0,0,0,0,0,0,0,1
자지들은 왜 본인들이 전세계적으로 못생긴걸 인지못하노 껄껄,0,0,0,0,0,0,0,0,0,1
문죄인 개좆같은데이건 맞는말 아니냐똥꼬충 개좆같은건 너도알고 나도아는데,1,0,0,0,0,0,0,0,1,0
회사에서 단체복으로 입을 수 있다. 항공기 여 승무원도 바지 입어도 되겠네! 별것을 가지고 뉴스라고 떠드네!,0,0,0,0,0,0,1,0,0,0
친절한 설명충 나와라라임 사건이 뭐냐?,0,0,0,0,0,0,0,1,0,0
몽골... 짱깨보다 더 미개하다. 핵노답,0,1,0,0,0,0,0,0,0,0
국민의당 - 동교동계 김머중 따까리 + 간철수 연합더민주 - 노뽕홍어,0,0,0,1,0,0,0,0,1,0
틀딱새끼들 부들부들ㅋㅋ,0,0,1,0,0,0,0,0,0,0
"정상교회라고.하는대한민국의 대표교회 부목사가 이단이라고하는. 교주의형장래식장에. 왜 문상 을  하는지. ,, ..",0,0,0,0,1,0,0,0,0,0
겉만보고 속모르는자들 입에서 나오는말만믿고 떠드는 언론이 한심하다.먹고사는게 힘든데 광주유공자들은 연금으로 호의호식하네!,0,0,0,1,0,0,0,0,0,0
여자수가 남자수보다 훨씬적은데 결혼을못했다곸ㅋㅋ 얼마나 파오후면ㅋㅋ,0,0,0,0,0,0,0,0,0,1
오늘도 베리나 목소리들으면서 자야지 얼굴은 싫어 멈춰,0,0,0,0,0,0,1,0,1,0
"전 세계적으로 감소추세인 에이즈가 왜 유독 대한민국 청소년들에겐 급성장 추세일까요? 제대로 된 사실만 알려줘도 동성간 성행동에 노출되는 일을 막을수 있을겁니다. 인권이란 말로 방종 부추기지 말고, 제대로 교육좀 합시다.",1,0,0,0,0,0,0,0,0,0
음주는했지만 음주운전은안했다,0,0,0,0,0,0,0,1,0,0
앱친 소추새끼가 쪼그라든부랄마냥 저딴거나보노,0,0,0,0,0,0,0,0,0,1
부산에선 이미 박근혜 손절함 틀니들도 박근혜 빠는 새끼는 사람취급도 안하더라ㅋㅋㅋㅋㅋ,0,0,1,0,0,0,0,0,1,0
전라도는 한국인이 아니다짱깨보다 더 악질인 새끼들임어디서 튀어나온 새끼들인건지 지역DNA문제인지 아니면 그지역 문화문제인지연구대상임,0,1,0,0,0,0,0,0,0,0
한국패미=고유정 수준 ㅋㅋㅋ,0,0,0,0,0,0,0,0,1,1
아시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
살만빼면 결혼도하고 하겠구만 여자오지헌 옥동자급이라도되나...대가리에 기생충이 기어들어갔나...믄 씹소리만 해대는거고,0,0,0,0,0,0,1,0,1,0
근데 일단 김치녀는 좀 가릴 필요가 있다,0,0,0,0,0,0,0,0,0,1
이와중에 기다렸다는듯이 튀어나오는 홍어들보소 ㅋㅋ,0,0,0,1,0,0,0,0,0,0
나 뒷부분이었는데 문재앙 사형도 외쳤었노,0,0,0,0,0,0,1,0,1,0
이혜인 기자님~~~ 왜...??? 남자와 여자 사이를 이간질 하나요 ??? 아름답다는 표현이 차별이란게 맞나요?? 제발 상식적인 생각을 하세요..이것이야 말로 역차별아닌가 ㅠㅠㅠ,0,0,0,0,0,0,1,0,1,0
"이런..., 이놈에 교회들 이럴줄 알앗다...  저놈에 교회 교인들.., 신천지 보다 더 많은데... 주변은 대단위 아파트 단지들이고...",0,0,0,0,1,0,0,0,0,0
두번째 사진 노무현 꼴리노ㅋㅋㅋ 손 제스처보고 흑좆나 웃었다 이니야 착한 자집애는 재기한 자집애들밖에 없노,0,0,0,0,0,0,0,0,1,1
불매동참... 아쉽다 카스! 너만 마셨는데..ㅠㅠ,0,0,0,0,0,0,0,1,0,0
진짜 ㄹㅇ 레이디무현 좋은 사례임여자가 정권 잡으면 망한다는 사례 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ박근혜 한명으로 차기 여성 대통령 후보감 단체 운지행 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,1,1
죽기전에 꼬추 보여주고 가,0,0,0,0,0,0,0,0,0,1
박근혜 석방하기 vs 박근혜랑 뜨거운 하룻밤틀딱들 고추서면 닥후골랐음,0,0,1,0,0,0,0,0,1,0
예수쟁이들! 이번기회에 전부 코로나로 뒤져라!! 예수쟁이들은 절대 치료해주지말아라 우선적으로 목사부터 살처분하자,0,0,0,0,1,0,0,0,0,0
천조국같았으면 바로 총알받이이넫 아숩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ무슬림시발세키덜,0,0,0,0,1,0,0,0,1,0
무고죄가 더 악질이지서로합의하에 해놓고 남자인생 파탄시킴,0,0,0,0,0,0,0,0,0,1
도대체 무슨 겉멋이 들어서 다문화 우대 개지랄들을 하는지 모르겠다 특히 십짱개새끼들은 한국국적을 따도 절대로 자기 조국으로 인정안함 이용만 해먹지,0,1,0,0,0,0,0,0,1,0
주식부자 이재명도 전라도 기업 주식은 하나도 없더라,0,0,0,1,0,0,0,0,1,0
"병신같은 소리임 ㅋㅋㅋ 역사학자도 아니고 사이비 역사 강의 듣고 혹 하는 너도 병신.왕조가 길다는 건, 역설적으로 체제가 안정됐다는 이야기고,외부 영향과 오히려 모순임.독재 끝이 안좋은 건 역사가 증명하고,중국도 북한도 뒤질 일만 남았음",0,0,0,0,0,0,1,0,0,0
역시 (주) 개독 !!!! 전도사가 청화대 차량으로 돌진 !!!! 이옴들은 단체로 미친 정신병자들!!!!!,0,0,0,0,1,1,0,0,0,0
지들이 선택한거임 ㄷ,0,0,0,0,0,0,0,1,0,0
옥주할매 보지에 불나서 쉰다는 글 생각나네우웩,0,0,0,0,0,0,0,0,0,1
세상에... 제정신이 아니다. 트윗에서 혼잣말이라면 몰라두 공중파라됴에서요? 저런걸로 호남지지율이 확 빠진다? 이정렬이 호남분들을 욕보이는구만 방심위에서 주의받아도 반성이 없네.,0,0,0,0,0,0,1,0,1,0
쇼타사진 같은거에다가 시체사진에 당연한거지,0,0,0,0,0,0,1,0,0,0
신고도 한남한테 하겠지? 병신년들,0,0,0,0,0,0,0,0,0,1
하나 더 첨언하자면 좃족은 좃족끼리도 서로 못믿음ㅋ 좃족 사장이 직원구하면 한국말 유창한 좃족보다 한국말이 좀 서툰 한족을 구하는게 더 빈번함. 왜? 지네들도 알거든. 뭐하면 바로 뒷통수치고 나갈애들이 좃족이라는 걸,0,1,0,0,0,0,0,0,0,0
똥) 똥꼬충으로서 박원순 착한 서울시장 인정한다,1,0,0,0,0,0,0,0,1,0
피해주장인에 대한 관심은 전혀 없다 김재련은 이번사태에 대한 피해증거를 제시할 때가 왔다 말만하면 이차가해인가 김재련은 응답해야 할때가 왔다 코로나로 고통분담에 힘겨운 시민들에게 그분의 부재는 그래서 더 아프다,0,0,0,0,0,0,1,0,1,0
잠지새끼들 지들 좆같은 망상이란 망상은 다 하고 다니노 오징어한테 먹이준다고 해도 안 먹는게 잠지노,0,0,0,0,0,0,0,0,1,1
아오 이자스민년때문에 암걸리겠다,0,1,0,0,0,0,0,0,1,0
송파옆에 위례인지 동탄인지 씹창난 맘충 도시 아니냐?ㅋㅋ ㄹㅇ 송파가?강남 집값이 50퍼 올라도 재앙이 씹기 바쁜데,0,0,0,1,0,0,0,0,1,1
외국인들에게 퍼주는 수준=무현머중정부시절 정일이한테 무료로 쌀퍼주고 돈퍼줬던 수준,0,1,0,0,0,0,0,0,1,0
홍통일체 개쌍도 새끼들 부심좀 부리지마라 좆같은 빨갱이새끼들아 ㅉㅉㅉ노무현 문재인 개쌍도^^,0,0,0,1,0,0,0,0,1,0
부들부들 부들부들~~ 왜구들이~ 부들부들 속에서 천불이나네~~ 부드ㄹ부~드~ㄹ 문통이 일만하면 부들부들~~ㅋㅋ~ 문통이 국민위해 일잘하면 부들부들*2= 개부들부들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,0,0,0,0,1,0
기안내나노 ㅋ,0,0,0,0,0,0,1,0,1,0
와 진째 개독들 ㅂㅣ융 신이네 저런새기가 목사라니 비슷한 범죄가 생각보다 많아서 자녀 교회에 보내겠나ㅡㅡ,0,0,0,0,1,0,0,0,0,0
갓조국 미투운동 응원합니다 충성충성^^7 한녀는 제외,0,0,0,0,0,0,0,0,1,1
"생리충, 여자찌개, 피싸개",0,0,0,0,0,0,0,0,0,1
살인마 오원춘도 조선족.. 느그 조선족이 여기서 벌이는짓들 알면 혀를 내두를거다ㅉㅉ 조선족은 추방이 답!,0,1,0,0,0,0,0,0,1,0
근대 7시는 전두환각하가 미워서 그러는거냐? 아니면 진심으로 머중이를 존경하는거냐?존나 궁금함,0,0,0,1,0,0,0,0,1,0
앰창vs 앰창의 대결이노,0,0,0,0,0,0,1,0,0,0
이낙연 너무 느끼하노,0,0,0,0,0,0,1,0,1,0
뭐래노 씹창년이개독교는 원래부터깟어이명박이 개독 쉴드췰때도 안깐줄암?니들이 믿고 하는짓이 그냥 한무당새끼나 다를게 없으니까는거지 별다른이유가있는게아님 ㅋㅋ,0,0,0,0,1,0,0,0,1,0
뿡탄소추단 빌보드 웅앵웅 하면서 6군면제해줘야하는거아니냐!?9 하는거랑 노무현 다르다 이기야. 여자 업적은 다 지우는 쀼젤.,0,0,0,0,0,0,0,0,1,1
"와 이제야 쌍도 새끼들 진심을 알았다 쌍도 까면 홍어로 몰아가는게 컨셉이 아니라 ㄹㅇ이었구나 니네가 홍어새끼들하고 다를게 뭐냐또 네다홍 지랄할까봐 적눈다 김대중,노무현,이석기,마오쩌뚱 개씨발새끼",0,0,0,1,0,0,0,0,1,0
페미니스트와 페미니즘이 세상의 실체가 아니다. 책을 읽을려면 여뤄권을 읽어 환자들아,0,0,0,0,0,0,0,0,0,1
한남이 또 번번이 패버렸죠?죠죠죠,0,0,0,0,0,0,0,0,0,1
극단주의 이슬람은 진정한 이슬람이 아니고 극단주의 크리스천도 크리스천이 아니고 극단적인 종교인들은 자기 종교를 이해하고 진정으로 믿는 자들이 아닙니다.,0,0,0,0,0,0,0,1,0,0
근데 문제는 한국은 보수고 진보고 다 다문화를 원하니 문제다가장 큰 이유는 기업들이 싼 임금 원해서 그렇지만,0,1,0,0,0,0,0,0,0,0
저거 보지들임,0,0,0,0,0,0,0,0,0,1
미친년은 정상적인 여자가 까야 됨여명숙 누나 좋아하는 eu,0,0,0,0,0,0,0,0,1,1
성고재기 후장에 철근 박혔다는거 드립인 줄 알았노,0,0,0,0,0,0,1,0,1,0
"뚱뚱한 나의여자친구 살좀빼랬더니 갈수록 가슴살만 빠지고 이러면 안되겠다 싶어 다시먹였더니 그나마 없었던 배만 나오더랍니다. COOL, 칼로리",0,0,0,0,0,0,0,0,0,1
타크비르 왜쳐라 타크비르,0,0,0,0,0,0,0,1,0,0
개누리당=다문화당. 이자스민 때문에 개누리당뿐만아니라 이 나라는 다망한당,0,1,0,0,0,0,0,0,1,0
저 짱틀딱 버킷리스트가 아줌마 보지 만져보고 디지는거란다 게이들이 이해는 무슨 둘다 죠패야지,0,0,1,0,0,0,0,0,0,0
ㅋㅋㅋㅋ 자지들아 생각을 해봐라. 쟤가 해외에서 잘 나갈 비주얼 이었으면 다니엘 헤니마냥 좆국이 아니라 미국이든 캐나다든 어디든 가서 활동 했겠지 ㅋㅋㅋ 어차피 줄리엔강인가 뭔가하는 애 발톱 때만큼도 안되는 한남 새끼들이 부랄 떨고있노 ㅋㅋ,0,0,0,0,0,0,0,0,1,1
카톨릭이 요즘 병신짓만 많이 해서 별 의미 없다.대한민국의 사제단이라는 새끼들은 정은이하고 재앙이 빠느라고 정신없고...개슬람새끼들은 현상금 걸어서 마호멧씹새끼 모욕했다고 암살까지하는데...카톨릭은 헌금한 돈 다 어디 썼냐...,0,0,0,0,1,0,0,0,1,0
게이들 진짜 음지에서 지들끼리 놀면 좋겠다부끄러운줄 알아야지,1,0,0,0,0,0,0,0,0,0
교회는 이번에 해체하고 천주교를 다니던가 불교를 다녀라!! 법을 뜯어 고쳐서 강제로 개신교를 해체 해야합니다 정상인이 없어 전광훈 빤스 목사부터 시작해서 올 비정상인!!,0,0,0,0,1,0,0,0,1,0
문재앙 병신은 자국에서 위험하다고 원자력 없애고 있는데 정작 짱깨가 사고 치면 방사능에 좆되버림 문병신새끼,0,1,0,0,0,0,0,0,1,0
아이디 옆에 실명뿐 아니라 국적까지 달아야 할 판이네...,0,0,0,0,0,0,0,1,0,0
아크용접 연습많이해라 이기!그리고 여기 이래해라 저래해라 훈수충논많은데여러가지해보고 너가편한거해라!,0,0,0,0,0,0,0,1,0,0
다문화가 노무현급이노 ;;;;사스가 레이디무현,0,1,0,0,0,0,0,0,1,0
나대는게 이순자 와 쌍벽,0,0,0,0,0,0,1,0,1,0
으 발암물질들,0,0,0,0,0,0,1,0,0,0
중국공산주의 속국에서 벗어나야됩니다 나라 말아먹고있는 간첩 문죄인을 추방하여 자유대한민국을 바로 세웁시다!,0,1,0,0,0,0,0,0,1,0
프랑스에서 무슬림들이 선거권이 있거든ㅋㅋㅋㅋ프랑스 똘레랑스 새끼들이야 이놈도 뽑고 저놈도 뽑는데무슬림 새끼들은 홍어새끼들 처럼 우덜 개슬람만 뽑는당께?법과 여론이 누구를 위해 움직이겠냨ㅋㅋㅋㅋㅋㅋ역사는 돌고 도는것 처럼이젠 히브리 새끼들이 유럽 한번더 먹는거지 뭨ㅋㅋㅋ,0,1,0,0,1,0,0,0,0,0
킴 카다시안 이 씨발년 하는짓은 페미 앞잽이같이생겼는데 아니였냐?,0,0,0,0,0,0,0,0,1,1
미친 씨발 서울에 무슬림 기도실이 있다는게 미친거 아니냐?? 원숭이 개새끼야!!! 개독이나 땡중들 기도실은 만들어줬냐 이 씨발새끼야,0,0,0,0,1,0,0,0,0,0
시선강간 못잃어~~~애잔ㅛ쳐다라도 보겠다는 의지.그의지로 니 와꾸 노오력좀 해라이기야노,0,0,0,0,0,0,0,0,0,1
이자스민 뭐하는 가시나고 아 놔;;,0,1,0,0,0,0,0,0,1,1
ㅋㅋㅋ 김신영도 대구출신이노,0,0,0,1,0,0,0,0,1,0
게임도 예방과 치료가 필요한 중독 맞는데 뭐가 문제??,0,0,0,0,0,0,0,1,0,0
성현아랑 지나 말고 또 있었음? 그러고보면 지나는 1번에 5천이었다는데 지금샌각해보면 혜자였네,0,0,0,0,0,0,0,0,1,1
신사동호랭이 음악 다신못하게 프젝 ㄱ ㄱ,0,0,0,0,0,0,1,0,1,0
저스틴비버 좋아하는 남자 한 명도 못봄,0,0,0,0,0,0,1,0,1,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ으리!,0,0,0,0,0,0,0,1,0,0
"개씨발 홍어새끼 ""그러지 않아요?""하는데 슨상인줄 알았다",0,0,0,1,0,0,0,0,1,0
군대나 가라 창년들,0,0,0,0,0,0,0,0,0,1
고상무? 대장암 걸려서 한강에서 재기한놈 아니노,0,0,0,0,0,0,0,0,1,1
21세기 맞냐,0,0,0,0,0,0,0,1,0,0
"난 14살때부터 정치 관심 있었는데, 애초에 난 책을 제대로 읽기 시작한 때부터 신자유주의자였음.이명박, 박근혜, 노무현, 김대중, 문재인의 비리, 과거 같은 거 전혀 관심 없음그냥 이새끼들 방향성만 본다",0,0,0,0,0,0,1,0,1,0
이런걸 말꼬리 잡는 꼴페미들 해병대 보내자.,0,0,0,0,0,0,0,0,0,1
홍어새끼들이 일베 장악했네탈북자들이 새민련 욕하고 노무현 김대중 얼마나 싫어한다.이새끼들이 단체로 약빨았나어디서 탈북자들을 욕해,0,1,0,0,0,0,0,0,1,0
아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ씨발 진짜 씹자스민 길가다가 좆1선족한테 칼빵맞고 인육캡슐이나 됐음 좋겟다 개씨발련,0,1,0,0,0,0,0,0,1,0
그럼 좀 돌아가 개새기들아 ㅠㅠㅠ,0,0,0,0,0,0,1,0,0,0
닭년따리 닭년따~,0,0,0,0,0,0,0,0,1,1
그 불쌍하다가 진짜 불쌍하다는 의미겠냐 재앙이까려고 그러는거지,0,0,0,0,0,0,1,0,1,0
짱깨새끼들 이번엔 성화봉송때처럼 집단폭행 안하냐?,0,1,0,0,0,0,0,0,0,0
조권 존나 역겹긴 한데.. 근데 저런거 밀어준다고 게이 아닌사람이 게이가 되냐?,1,0,0,0,0,0,0,0,1,0
성적 학대는 씨발 좆대가리 철조망 통과 시켰노 저 나이 때는 안 빼고 3회 사정 가능한데 그게 학대냐,0,0,1,0,0,0,0,0,0,1
"맞는 말인데...무슨 !! 여자는 나이들면 끝이야!! 과학적으로 입증되는데 돈만 많이 들고, 그냥 어린 여자 델꼬 살아!!",0,0,0,0,0,0,0,0,0,1
교회가 이나라에 웬수야 나라망하라고 모여서 기도 했나보네 목사나 신자나 다 빨갱이라는,0,0,0,0,1,0,0,0,0,0
창놈 후전깨하고싶노 유충꺼내고 멕여야긋노,0,0,0,0,0,0,0,0,0,1
나는 애초에 보지루~ 노지루~(노무현보지하이루~) 썼는데,0,0,0,0,0,0,1,0,1,0
자꾸 니들 개독 개독 거리는데 기독교에 보수많아서기독교표 무시 못한다 이명박도 교회 장로라서 어느정도 기독교표가 동원되었음,0,0,0,0,1,0,0,0,1,0
저렇게 생긴 남자애들이 저런말을 많이 해야되노 ㅋㅋㅋ 남혐풀충ㅋ,0,0,0,0,0,0,0,0,0,1
보겸이랑 똑같이 생겨서 허벌후장인거 다 알겠노.,0,0,0,0,0,0,0,0,1,1
야쿠르트 미소녀 Σ(･ω･),0,0,0,0,0,0,0,1,0,0
모든 것은 짱개의 개 흑진핑이 자초.,0,1,0,0,0,0,0,0,1,0
